zh.0	General Quality: 75	Cohesion: 70	Coherence: 72	Style Consistency: 68	Terminology Consistency: 80	Average: 73.00
zh.1	General Quality: 94	Cohesion: 96	Coherence: 95	Style Consistency: 93	Terminology Consistency: 98	Average: 95.20
zh.2	General Quality: 94	Cohesion: 96	Coherence: 97	Style Consistency: 95	Terminology Consistency: 97	Average: 95.80
zh.3	General Quality: 94	Cohesion: 92	Coherence: 95	Style Consistency: 93	Terminology Consistency: 96	Average: 94.00
zh.4	General Quality: 96	Cohesion: 97	Coherence: 97	Style Consistency: 95	Terminology Consistency: 98	Average: 96.60
zh.5	General Quality: 92	Cohesion: 96	Coherence: 95	Style Consistency: 94	Terminology Consistency: 90	Average: 93.40
zh.6	General Quality: 95	Cohesion: 97	Coherence: 96	Style Consistency: 94	Terminology Consistency: 98	Average: 96.00
zh.7	General Quality: 94	Cohesion: 96	Coherence: 97	Style Consistency: 95	Terminology Consistency: 97	Average: 95.80
zh.8	General Quality: 93	Cohesion: 92	Coherence: 94	Style Consistency: 91	Terminology Consistency: 95	Average: 93.00
zh.9	General Quality: 88	Cohesion: 90	Coherence: 87	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
zh.10	General Quality: 93	Cohesion: 95	Coherence: 94	Style Consistency: 92	Terminology Consistency: 97	Average: 94.20
zh.11	General Quality: 88	Cohesion: 90	Coherence: 92	Style Consistency: 85	Terminology Consistency: 80	Average: 87.00
zh.12	General Quality: 95	Cohesion: 97	Coherence: 96	Style Consistency: 95	Terminology Consistency: 93	Average: 95.20
zh.13	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 88	Terminology Consistency: 95	Average: 91.60
zh.14	General Quality: 96	Cohesion: 97	Coherence: 98	Style Consistency: 96	Terminology Consistency: 98	Average: 97.00
zh.15	General Quality: 87	Cohesion: 90	Coherence: 88	Style Consistency: 85	Terminology Consistency: 92	Average: 88.40
zh.16	General Quality: 92	Cohesion: 90	Coherence: 93	Style Consistency: 91	Terminology Consistency: 87	Average: 90.60
zh.17	General Quality: 93	Cohesion: 95	Coherence: 96	Style Consistency: 92	Terminology Consistency: 94	Average: 94.00
zh.18	General Quality: 92	Cohesion: 95	Coherence: 94	Style Consistency: 96	Terminology Consistency: 97	Average: 94.80
zh.19	General Quality: 95	Cohesion: 96	Coherence: 97	Style Consistency: 94	Terminology Consistency: 98	Average: 96.00
zh.20	General Quality: 94	Cohesion: 96	Coherence: 95	Style Consistency: 93	Terminology Consistency: 98	Average: 95.20
zh.21	General Quality: 95	Cohesion: 97	Coherence: 96	Style Consistency: 95	Terminology Consistency: 98	Average: 96.20
zh.22	General Quality: 94	Cohesion: 96	Coherence: 95	Style Consistency: 93	Terminology Consistency: 97	Average: 95.00
zh.23	General Quality: 93	Cohesion: 95	Coherence: 96	Style Consistency: 92	Terminology Consistency: 98	Average: 94.80
zh.24	General Quality: 93	Cohesion: 95	Coherence: 96	Style Consistency: 94	Terminology Consistency: 97	Average: 95.00
Average Scores	General Quality:	92.28	Cohesion:	93.44	Coherence:	93.76	Style Consistency:	91.36	Terminology Consistency:	94.40
Meta	93.05
